"Year after 
production","Softwood 
lumber","Hardwood 
lumber","Softwood 
plywood","Oriented 
strandboard","Non-structural 
panels","Miscellaneous 
products",Paper
0,1,1,1,1,1,1,1
1,0.973,0.938,0.976,0.983,0.969,0.944,0.845
2,0.947,0.882,0.952,0.967,0.939,0.891,0.713
3,0.922,0.831,0.93,0.952,0.911,0.841,0.603
4,0.898,0.784,0.909,0.937,0.883,0.794,0.509
5,0.875,0.741,0.888,0.922,0.857,0.749,0.43
6,0.854,0.701,0.869,0.908,0.832,0.707,0.36
7,0.833,0.665,0.85,0.895,0.808,0.667,0.299
8,0.813,0.631,0.832,0.881,0.785,0.63,0.243
9,0.795,0.6,0.815,0.869,0.763,0.595,0.192
10,0.777,0.571,0.798,0.856,0.741,0.561,0.149
11,0.76,0.545,0.782,0.844,0.721,0.53,0.115
12,0.743,0.52,0.767,0.832,0.701,0.5,0.088
13,0.728,0.497,0.752,0.821,0.683,0.472,0.068
14,0.712,0.476,0.738,0.81,0.665,0.445,0.052
15,0.698,0.456,0.724,0.799,0.647,0.42,0.04
16,0.684,0.438,0.711,0.789,0.63,0.397,0.03
17,0.671,0.421,0.698,0.778,0.614,0.375,0.023
18,0.658,0.405,0.685,0.768,0.599,0.354,0.018
19,0.645,0.389,0.673,0.759,0.584,0.334,0.013
20,0.633,0.375,0.662,0.749,0.569,0.315,0.009
21,0.622,0.362,0.65,0.74,0.555,0.297,0.006
22,0.611,0.349,0.639,0.731,0.542,0.281,0.005
23,0.6,0.337,0.629,0.722,0.529,0.265,0.004
24,0.589,0.326,0.619,0.713,0.517,0.25,0.003
25,0.579,0.316,0.609,0.705,0.505,0.236,0.002
26,0.569,0.306,0.599,0.697,0.493,0.223,0.002
27,0.56,0.296,0.589,0.689,0.482,0.21,0.001
28,0.551,0.287,0.58,0.681,0.471,0.198,0.001
29,0.542,0.278,0.571,0.673,0.46,0.187,0.001
30,0.533,0.27,0.563,0.666,0.45,0.177,0.001
31,0.525,0.263,0.554,0.658,0.44,0.167,0
32,0.517,0.255,0.546,0.651,0.431,0.157,0
33,0.509,0.248,0.538,0.644,0.421,0.149,0
34,0.501,0.241,0.53,0.637,0.412,0.14,0
35,0.494,0.235,0.522,0.63,0.404,0.132,0
36,0.487,0.229,0.515,0.623,0.395,0.125,0
37,0.48,0.223,0.508,0.617,0.387,0.118,0
38,0.473,0.217,0.5,0.61,0.379,0.111,0
39,0.466,0.211,0.493,0.604,0.372,0.105,0
40,0.459,0.206,0.487,0.598,0.364,0.099,0
41,0.453,0.201,0.48,0.592,0.357,0.094,0
42,0.447,0.196,0.474,0.586,0.35,0.088,0
43,0.441,0.191,0.467,0.58,0.343,0.083,0
44,0.435,0.187,0.461,0.574,0.337,0.079,0
45,0.429,0.183,0.455,0.568,0.33,0.074,0
46,0.423,0.178,0.449,0.563,0.324,0.07,0
47,0.418,0.174,0.443,0.557,0.318,0.066,0
48,0.413,0.17,0.437,0.552,0.312,0.063,0
49,0.407,0.166,0.432,0.546,0.306,0.059,0
50,0.402,0.163,0.426,0.541,0.301,0.056,0
51,0.397,0.159,0.421,0.536,0.295,0.053,0
52,0.392,0.156,0.416,0.531,0.29,0.05,0
53,0.387,0.152,0.411,0.526,0.285,0.047,0
54,0.383,0.149,0.405,0.521,0.28,0.044,0
55,0.378,0.146,0.401,0.516,0.275,0.042,0
56,0.373,0.143,0.396,0.511,0.27,0.039,0
57,0.369,0.14,0.391,0.506,0.265,0.037,0
58,0.364,0.137,0.386,0.502,0.261,0.035,0
59,0.36,0.134,0.382,0.497,0.256,0.033,0
60,0.356,0.131,0.377,0.493,0.252,0.031,0
61,0.352,0.129,0.373,0.488,0.248,0.029,0
62,0.348,0.126,0.368,0.484,0.244,0.028,0
63,0.344,0.124,0.364,0.479,0.239,0.026,0
64,0.34,0.121,0.36,0.475,0.236,0.025,0
65,0.336,0.119,0.356,0.471,0.232,0.023,0
66,0.332,0.117,0.352,0.466,0.228,0.022,0
67,0.329,0.114,0.348,0.462,0.224,0.021,0
68,0.325,0.112,0.344,0.458,0.221,0.02,0
69,0.321,0.11,0.34,0.454,0.217,0.019,0
70,0.318,0.108,0.336,0.45,0.214,0.018,0
