地区,森林类型,软木材积,软木生长蓄积量（锯材大小）,硬木生长蓄积量（锯材大小）,软木比重,硬木比重
Northeast,Aspen-birch,0.247,0.439,0.33,0.353,0.428
Northeast,Elm-ash-cottonwood,0.047,0.471,0.586,0.358,0.47
Northeast,Maple-beech-birch,0.132,0.604,0.526,0.369,0.518
Northeast,Oak-hickory,0.039,0.706,0.667,0.388,0.534
Northeast,Oak-pine,0.511,0.777,0.545,0.371,0.516
Northeast,Spruce-fir,0.87,0.508,0.301,0.353,0.481
Northeast,White-red-jack pine,0.794,0.72,0.429,0.361,0.51
Northern Lake States,Aspen-birch,0.157,0.514,0.336,0.351,0.397
Northern Lake States,Elm-ash-cottonwood,0.107,0.468,0.405,0.335,0.46
Northern Lake States,Maple-beech-birch,0.094,0.669,0.422,0.356,0.496
Northern Lake States,Oak-hickory,0.042,0.605,0.473,0.369,0.534
Northern Lake States,Spruce-fir,0.876,0.425,0.276,0.344,0.444
Northern Lake States,White-red-jack pine,0.902,0.646,0.296,0.389,0.473
Northern Prairie States,Elm-ash-cottonwood,0.004,0.443,0.563,0.424,0.453
Northern Prairie States,Loblolly-shortleaf pine,0.843,0.686,0.352,0.468,0.544
Northern Prairie States,Maple-beech-birch,0.01,0.47,0.538,0.437,0.508
Northern Prairie States,Oak-hickory,0.02,0.497,0.501,0.448,0.565
Northern Prairie States,Oak-pine,0.463,0.605,0.314,0.451,0.566
Northern Prairie States,Ponderosa pine,0.982,0.715,0.169,0.381,0.473
Pacific Northwest; East,Douglas-fir,0.989,0.896,0.494,0.429,0.391
Pacific Northwest; East,Fir-spruce-m.hemlock,0.994,0.864,0.605,0.37,0.361
Pacific Northwest; East,Lodgepole pine,0.992,0.642,0.537,0.38,0.345
Pacific Northwest; East,Ponderosa pine,0.996,0.906,0.254,0.385,0.513
Pacific Northwest; West,Alder-maple,0.365,0.895,0.635,0.402,0.385
Pacific Northwest; West,Douglas-fir,0.959,0.914,0.415,0.44,0.426
Pacific Northwest; West,Fir-spruce-m.hemlock,0.992,0.905,0.296,0.399,0.417
Pacific Northwest; West,Hemlock-Sitka spruce,0.956,0.909,0.628,0.405,0.38
Pacific Southwest,Mixed conifer,0.943,0.924,0.252,0.394,0.521
Pacific Southwest,Douglas-fir,0.857,0.919,0.32,0.429,0.483
Pacific Southwest,Fir-spruce-m.hemlock,1,0.946,0,0.372,0.51
Pacific Southwest,Ponderosa Pine,0.997,0.895,0.169,0.38,0.51
Pacific Southwest,Redwood,0.925,0.964,0.468,0.376,0.449
Rocky Mountain; North,Douglas-fir,0.993,0.785,0.353,0.428,0.37
Rocky Mountain; North,Fir-spruce-m.hemlock,0.999,0.753,0,0.355,0.457
Rocky Mountain; North,Hemlock-Sitka spruce,0.972,0.735,0.596,0.375,0.441
Rocky Mountain; North,Lodgepole pine,0.999,0.54,0.219,0.383,0.391
Rocky Mountain; North,Ponderosa pine,0.999,0.816,0,0.391,0.374
Rocky Mountain; South,Aspen-birch,0.297,0.766,0.349,0.355,0.35
Rocky Mountain; South,Douglas-fir,0.962,0.758,0.23,0.431,0.35
Rocky Mountain; South,Fir-spruce-m.hemlock,0.958,0.77,0.367,0.342,0.35
Rocky Mountain; South,Lodgepole pine,0.981,0.607,0.121,0.377,0.35
Rocky Mountain; South,Ponderosa pine,0.993,0.773,0.071,0.383,0.386
Southeast,Elm-ash-cottonwood,0.03,0.817,0.551,0.433,0.499
Southeast,Loblolly-shortleaf pine,0.889,0.556,0.326,0.469,0.494
Southeast,Longleaf-slash pine,0.963,0.557,0.209,0.536,0.503
Southeast,Oak-gum-cypress,0.184,0.789,0.5,0.441,0.484
Southeast,Oak-hickory,0.07,0.721,0.551,0.438,0.524
Southeast,Oak-pine,0.508,0.746,0.425,0.462,0.516
South Central ,Elm-ash-cottonwood,0.044,0.787,0.532,0.427,0.494
South Central ,Loblolly-shortleaf pine,0.88,0.653,0.358,0.47,0.516
South Central ,Longleaf-slash pine,0.929,0.723,0.269,0.531,0.504
South Central ,Oak-gum-cypress,0.179,0.83,0.589,0.44,0.513
South Central ,Oak-hickory,0.057,0.706,0.534,0.451,0.544
South Central ,Oak-pine,0.512,0.767,0.432,0.467,0.537
West,Pinyon-juniper,0.986,0.783,0.042,0.422,0.62
West,Tanoak-laurel,0.484,0.909,0.468,0.43,0.459
West,Western larch,0.989,0.781,0.401,0.433,0.43
West,Western oak,0.419,0.899,0.206,0.416,0.59
West,Western white pine,1,0.838,0,0.376,--
